File,Loss,Accuracy,Precision,Recall,ROC
exp32100003_20231024111306161784_T6.zip,0.6242926716804504,0.6557459831237793,0.6557459831237793,0.6557459831237793,0.7074568867683411
exp3210001_20231024131402843734_T4.zip,0.6741439700126648,0.5806451439857483,0.5806451439857483,0.5806451439857483,0.6176548004150391
exp32100001_20231024094157525314_T6.zip,0.6463087201118469,0.617943525314331,0.617943525314331,0.617943525314331,0.6891154050827026
exp32100001_20231024101159012889_T4.zip,0.6622990965843201,0.6003023982048035,0.6003023982048035,0.6003023982048035,0.6470775604248047
exp32100003_20231024104246273226_T5.zip,0.6349533796310425,0.6370967626571655,0.6370967626571655,0.6370967626571655,0.6938899755477905
exp64100001_20231024141451824953_T6.zip,0.6536762118339539,0.6275201439857483,0.6275201439857483,0.6275201439857483,0.6771623492240906
exp3210001_20231024124407867884_T6.zip,0.604910135269165,0.6723790168762207,0.6723790168762207,0.6723790168762207,0.7405242919921875
exp32100001_20231024091121120104_T5.zip,0.662975549697876,0.6103830933570862,0.6103830933570862,0.6103830933570862,0.6458203792572021
exp3210001_20231024121350004666_T5.zip,0.5994659662246704,0.6910282373428345,0.6910282373428345,0.6910282373428345,0.7465654611587524
exp32100003_20231024114305314996_T4.zip,0.6714434027671814,0.5987903475761414,0.5987903475761414,0.5987903475761414,0.6255072355270386
exp64100001_20231024134454640538_T5.zip,0.657795786857605,0.6123992204666138,0.6123992204666138,0.6123992204666138,0.6645840406417847
